order_id,branch,product,category,quantity,unit_price,order_date,customer_email
1133,Cuttack,Keyboard,Accessories,4,780.66,2025-04-27,customer133@example.com
1456,Sambalpur,Keyboard,Accessories,1,847.48,2025-06-02,customer456@example.com
1010,Puri,Keyboard,Accessories,10,852.7,2025-04-03,customer10@example.com
1217,Bhubaneswar,Router,Electronics,8,2192.33,2025-01-10,customer217@example.com
1244,Cuttack,Smartwatch,Accessories,3,4378.38,2025-01-24,customer244@example.com
1179,Bhubaneswar,External HDD,Accessories,4,3219.46,2025-06-10,customer179@example.com
1189,Rourkela,Keyboard,Accessories,8,800.08,2025-04-23,customer189@example.com
1265,Berhampur,Webcam,Accessories,4,2020.34,2025-06-14,customer265@example.com
1072,Rourkela,Mobile Phone,Electronics,3,19580.15,2025-03-09,customer72@example.com
1491,Rourkela,Printer,Electronics,9,6925.09,2025-03-25,customer491@example.com
1460,Rourkela,Monitor,Electronics,2,8156.83,2025-02-18,customer460@example.com
1393,Sambalpur,External HDD,Accessories,8,3448.28,2025-03-31,customer393@example.com
1163,Bhubaneswar,External HDD,Accessories,5,3467.62,2025-03-06,customer163@example.com
1253,Bhubaneswar,Router,Electronics,2,2176.12,2025-06-22,customer253@example.com
1383,Bhubaneswar,Webcam,Accessories,4,1996.27,2025-01-12,customer383@example.com
1526,,Printer,Electronics,1,6457.13,2025-06-22,customer48@example.com
1499,Sambalpur,Mouse,Accessories,4,511.46,2025-02-04,customer499@example.com
1119,Berhampur,Router,Electronics,8,1895.7,2025-01-20,customer119@example.com
1185,Bhubaneswar,Printer,Electronics,4,5999.21,2025-06-15,customer185@example.com
1069,Bhubaneswar,Mobile Phone,Electronics,6,19365.37,2025-03-14,customer69@example.com
1331,Bhubaneswar,Laptop,Electronics,10,54447.07,2025-06-16,customer331@example.com
1440,Cuttack,Monitor,Electronics,1,9150.02,2025-01-13,customer440@example.com
1222,Cuttack,Mouse,Accessories,9,535.23,2025-04-08,customer222@example.com
1142,Berhampur,Mobile Phone,Electronics,5,18283.27,2025-05-28,customer142@example.com
1218,Sambalpur,Tablet,Electronics,6,16396.06,2025-01-26,customer218@example.com
1193,Bhubaneswar,Headphones,Accessories,8,1491.15,2025-03-13,customer193@example.com
1298,Puri,Mouse,Accessories,3,485.1,2025-02-06,customer298@example.com
1214,Sambalpur,Mouse,Accessories,4,536.96,2025-05-27,customer214@example.com
1113,Rourkela,Headphones,Accessories,9,1591.23,2025-04-29,customer113@example.com
1471,Cuttack,Smartwatch,Accessories,7,4658.96,2025-04-12,customer471@example.com
1065,Berhampur,Mouse,Accessories,7,473.87,2025-02-03,customer65@example.com
1176,Puri,Smartwatch,Accessories,10,4586.51,2025-02-27,customer176@example.com
1099,Cuttack,Router,Electronics,5,2139.21,2025-05-10,customer99@example.com
1036,Bhubaneswar,External HDD,Accessories,2,3490.19,2025-05-17,customer36@example.com
1458,Puri,External HDD,Accessories,8,3185.95,2025-02-13,customer458@example.com
1402,Rourkela,Mouse,Accessories,4,514.96,2025-01-30,customer402@example.com
1382,Berhampur,Router,Electronics,3,1872.91,2025-01-17,customer382@example.com
1187,Sambalpur,Keyboard,Accessories,10,815.21,2025-03-15,customer187@example.com
1068,Cuttack,Tablet,Electronics,5,14139.46,2025-02-03,customer68@example.com
1254,Puri,Webcam,Accessories,9,1991.01,2025-03-25,customer254@example.com
1360,Sambalpur,Headphones,Accessories,9,1431.84,2025-02-07,customer360@example.com
1273,Sambalpur,Printer,Electronics,2,6533.91,2025-05-02,customer273@example.com
1019,Bhubaneswar,Monitor,Electronics,10,9743.65,2025-03-22,customer19@example.com
1170,Rourkela,External HDD,Accessories,8,3810.86,2025-01-27,customer170@example.com
1398,Cuttack,Laptop,Electronics,4,50888.53,2025-06-15,customer398@example.com
1231,Sambalpur,Webcam,Accessories,3,2381.64,2025-03-01,customer231@example.com
1292,Bhubaneswar,Mouse,Accessories,9,460.36,2025-02-24,customer292@example.com
1365,Berhampur,Headphones,Accessories,5,1391.28,2025-05-01,customer365@example.com
1434,Bhubaneswar,Webcam,Accessories,8,2033.91,2025-03-05,customer434@example.com
1452,Berhampur,Smartwatch,Accessories,7,4336.68,2025-06-07,customer452@example.com
1516,Puri,Mouse,Accessories,9,461.86,2025-04-11,customer516@example.com
1121,Berhampur,Mobile Phone,Electronics,4,16698.15,2025-04-09,customer121@example.com
1472,Cuttack,Headphones,Accessories,5,1437.14,2025-01-21,customer472@example.com
1105,Bhubaneswar,Mouse,Accessories,8,496.5,2025-06-22,customer105@example.com
1109,Rourkela,Laptop,Electronics,8,50008.35,2025-06-06,customer109@example.com
1164,Berhampur,Mobile Phone,Electronics,6,18796.62,2025-01-31,customer164@example.com
1033,Sambalpur,Tablet,Electronics,10,16255.48,2025-03-24,customer33@example.com
1371,Puri,Mobile Phone,Electronics,8,19212.08,2025-06-02,customer371@example.com
1079,Bhubaneswar,Tablet,Electronics,2,13529.01,2025-06-26,customer79@example.com
1134,Sambalpur,Mouse,Accessories,7,526.12,2025-03-13,customer134@example.com
1366,Puri,Headphones,Accessories,8,1577.65,2025-04-25,customer366@example.com
1007,Cuttack,Mobile Phone,Electronics,2,16533.89,2025-04-02,customer7@example.com
1150,Sambalpur,Keyboard,Accessories,9,818.55,2025-05-04,customer150@example.com
1225,Berhampur,Mobile Phone,Electronics,2,17762.3,2025-06-12,customer225@example.com
1404,Sambalpur,Mobile Phone,Electronics,5,17142.4,2025-06-30,customer404@example.com
1348,Puri,Keyboard,Accessories,2,855.11,2025-05-10,customer348@example.com
1032,Puri,Smartwatch,Accessories,6,4229.02,2025-02-11,customer32@example.com
1238,Rourkela,Laptop,Electronics,7,60257.39,2025-03-12,customer238@example.com
1519,Cuttack,Printer,Electronics,4,6920.37,2025-04-28,customer519@example.com
1190,Puri,Smartwatch,Accessories,7,4085.87,2025-03-24,customer190@example.com
1520,Rourkela,Webcam,Accessories,6,,2025-03-15,customer328@example.com
1148,Sambalpur,Webcam,Accessories,6,2026.44,2025-06-12,customer148@example.com
1000,Bhubaneswar,Router,Electronics,5,1844.53,2025-03-04,customer0@example.com
1518,Puri,Keyboard,Accessories,9,794.08,2025-04-19,customer518@example.com
1173,Berhampur,Mobile Phone,Electronics,2,17642.55,2025-05-28,customer173@example.com
1537,Berhampur,Webcam,Accessories,5,,2025-01-09,customer261@example.com
1437,Puri,External HDD,Accessories,3,3368.9,2025-05-08,customer437@example.com
1447,Cuttack,Mobile Phone,Electronics,2,16663.19,2025-04-11,customer447@example.com
1449,Rourkela,Smartwatch,Accessories,9,4508.21,2025-01-11,customer449@example.com
1055,Cuttack,Laptop,Electronics,1,51311.01,2025-04-10,customer55@example.com
1524,Puri,Smartwatch,Accessories,10,,2025-01-11,customer62@example.com
1373,Cuttack,Headphones,Accessories,1,1437.38,2025-06-07,customer373@example.com
1219,Berhampur,Mobile Phone,Electronics,8,18093.42,2025-01-04,customer219@example.com
1450,Puri,Laptop,Electronics,6,51007.4,2025-05-02,customer450@example.com
1392,Puri,Mouse,Accessories,5,516.09,2025-04-25,customer392@example.com
1059,Bhubaneswar,Laptop,Electronics,9,55925.95,2025-05-16,customer59@example.com
1306,Berhampur,Mouse,Accessories,5,492.99,2025-06-23,customer306@example.com
1237,Cuttack,Smartwatch,Accessories,5,4373.06,2025-06-29,customer237@example.com
1453,Puri,Keyboard,Accessories,9,815.0,2025-05-11,customer453@example.com
1020,Cuttack,Router,Electronics,8,1999.69,2025-02-06,customer20@example.com
1468,Berhampur,Monitor,Electronics,5,9794.67,2025-03-15,customer468@example.com
1022,Cuttack,External HDD,Accessories,10,3559.21,2025-04-13,customer22@example.com
1211,Berhampur,Keyboard,Accessories,10,836.17,2025-05-29,customer211@example.com
1031,Puri,Tablet,Electronics,5,16237.88,2025-06-13,customer31@example.com
1485,Cuttack,Keyboard,Accessories,2,810.87,2025-03-27,customer485@example.com
1228,Puri,Printer,Electronics,9,6039.24,2025-04-16,customer228@example.com
1446,Puri,Tablet,Electronics,10,14339.16,2025-06-24,customer446@example.com
1355,Sambalpur,Monitor,Electronics,10,8762.11,2025-04-23,customer355@example.com
1224,Berhampur,Smartwatch,Accessories,5,4111.58,2025-02-28,customer224@example.com
1487,Bhubaneswar,Headphones,Accessories,8,1605.32,2025-03-11,customer487@example.com
1143,Puri,Printer,Electronics,4,6365.65,2025-01-20,customer143@example.com
1014,Berhampur,Mouse,Accessories,5,470.95,2025-06-29,customer14@example.com
1155,Cuttack,Webcam,Accessories,5,2073.33,2025-03-29,customer155@example.com
1103,Cuttack,Keyboard,Accessories,1,784.97,2025-03-19,customer103@example.com
1005,Berhampur,Smartwatch,Accessories,1,4300.37,2025-02-10,customer5@example.com
1135,Berhampur,Keyboard,Accessories,8,853.59,2025-01-05,customer135@example.com
1363,Bhubaneswar,Monitor,Electronics,2,8795.1,2025-04-06,customer363@example.com
1351,Berhampur,Headphones,Accessories,10,1599.4,2025-02-12,customer351@example.com
1057,Rourkela,Webcam,Accessories,5,2048.11,2025-02-25,customer57@example.com
1089,Cuttack,Monitor,Electronics,4,8501.26,2025-04-13,customer89@example.com
1364,Cuttack,Laptop,Electronics,2,53005.53,2025-06-16,customer364@example.com
1291,Cuttack,External HDD,Accessories,5,3186.01,2025-06-03,customer291@example.com
1012,Sambalpur,Keyboard,Accessories,4,877.64,2025-01-26,customer12@example.com
1060,Rourkela,Laptop,Electronics,2,60068.57,2025-02-17,customer60@example.com
1349,Cuttack,External HDD,Accessories,1,3768.58,2025-06-19,customer349@example.com
1178,Puri,Printer,Electronics,10,6246.99,2025-01-16,customer178@example.com
1145,Puri,Keyboard,Accessories,10,856.05,2025-01-31,customer145@example.com
1504,Bhubaneswar,Mobile Phone,Electronics,9,16422.33,2025-05-10,customer504@example.com
1361,Cuttack,Mobile Phone,Electronics,4,19607.09,2025-04-26,customer361@example.com
1058,Rourkela,Smartwatch,Accessories,1,4712.16,2025-03-22,customer58@example.com
1482,Sambalpur,Monitor,Electronics,1,9063.27,2025-02-14,customer482@example.com
1175,Sambalpur,Mobile Phone,Electronics,2,19778.11,2025-05-23,customer175@example.com
1297,Cuttack,Keyboard,Accessories,5,724.63,2025-06-29,customer297@example.com
